time,x,y,z
0.018,-0.17,-0.44,-0.25
0.019,-0.14,-0.57,-0.60
0.020,-0.09,-0.75,-0.93
0.027,-0.07,-0.83,-1.29
0.035,-0.04,-0.82,-1.27
0.045,-0.07,-0.80,-1.77
0.052,-0.13,-0.96,-2.17
0.061,-0.22,-1.26,-2.43
0.069,-0.20,-1.52,-2.60
0.080,-0.02,-1.57,-2.75
0.086,0.25,-1.63,-2.90
0.100,0.27,-1.58,-2.88
0.102,0.71,-1.77,-3.04
0.115,0.94,-1.87,-3.11
0.119,1.21,-2.26,-3.10
0.133,1.37,-2.71,-3.08
0.136,1.59,-3.14,-3.10
0.146,1.69,-3.05,-3.04
0.153,1.72,-3.28,-3.27
0.161,1.86,-3.33,-3.70
0.169,2.23,-3.37,-4.09
0.183,2.97,-3.56,-4.47
0.186,3.72,-3.97,-4.46
0.196,3.91,-3.83,-4.31
0.204,4.55,-4.36,-3.70
0.211,5.17,-5.02,-2.79
0.220,5.61,-5.69,-1.93
0.228,5.76,-6.40,-1.20
0.238,5.24,-6.81,-0.79
0.245,5.46,-6.54,-0.58
0.257,4.04,-6.71,-0.51
0.262,2.32,-6.81,-1.07
0.271,0.83,-6.75,-1.83
0.278,-0.49,-6.52,-2.39
0.296,-1.03,-6.12,-2.34
0.297,-0.89,-5.75,-2.10
0.308,-0.77,-5.38,-1.49
0.312,-0.81,-5.09,-0.81
0.322,-1.52,-4.68,-0.27
0.329,-2.96,-4.16,-0.13
0.338,-4.46,-3.66,0.09
0.346,-5.64,-3.25,0.97
0.355,-5.68,-2.86,0.97
0.363,-6.01,-2.76,2.21
0.371,-5.62,-2.53,3.83
0.379,-4.91,-2.30,5.23
0.395,-4.02,-2.25,5.98
0.396,-3.51,-2.24,5.98
0.411,-3.63,-1.94,5.94
0.414,-3.66,-1.71,5.42
0.421,-3.98,-1.51,4.86
0.430,-4.51,-1.35,4.71
0.447,-4.97,-1.32,5.22
0.456,-5.96,-1.54,5.78
0.456,-6.07,-1.31,5.81
0.463,-7.34,-1.59,5.55
0.473,-8.22,-1.47,4.62
0.481,-9.16,-0.99,3.29
0.489,-9.67,-0.44,1.76
0.498,-9.54,0.16,0.05
0.505,-9.58,0.23,-0.01
0.518,-9.07,0.93,-1.32
0.522,-8.18,1.37,-2.67
0.535,-11.67,-1.04,-20.79
0.538,-6.93,1.36,-20.28
0.550,-3.07,3.70,-9.88
0.556,-3.17,0.99,-2.91
0.565,-4.42,1.04,-2.91
0.572,-4.84,0.46,1.23
0.591,-3.42,-0.31,1.67
0.592,-1.31,-0.66,-0.16
