time,x,y,z
0.009,0.04,-0.01,-0.83
0.016,0.20,0.06,-0.75
0.024,0.20,0.07,-0.44
0.044,0.52,0.14,-0.55
0.045,0.68,0.19,-0.15
0.049,0.79,0.22,0.26
0.057,0.72,0.29,0.50
0.065,0.43,0.31,0.54
0.074,0.12,0.34,0.71
0.082,0.13,0.34,0.70
0.094,-0.38,0.02,0.34
0.100,-0.60,0.04,0.34
0.111,-0.76,-0.22,0.41
0.116,-1.06,-0.48,0.30
0.135,-0.77,-0.37,0.30
0.137,-0.75,-0.37,0.29
0.142,-0.21,-0.09,0.25
0.150,-0.01,0.03,0.52
0.160,-0.36,0.14,0.41
0.166,-0.77,0.12,-0.14
0.176,-0.98,-0.10,-0.64
0.184,-0.93,-0.10,-0.63
0.192,-0.81,-0.38,-0.86
0.201,-0.63,-0.48,-0.85
0.209,-0.64,-0.41,-0.75
0.217,-0.75,-0.29,-0.56
0.226,-0.85,-0.14,-0.41
0.233,-0.84,-0.12,-0.42
0.245,-0.77,-0.00,-0.42
0.250,-0.65,-0.02,-0.21
0.259,-0.45,-0.01,-0.14
0.267,-0.38,-0.05,-0.01
0.276,-0.32,-0.20,-0.03
0.285,-0.31,-0.19,-0.04
0.292,-0.11,-0.28,-0.35
0.304,0.52,-0.25,-0.43
0.309,1.60,-0.09,-0.14
0.318,3.06,0.13,1.03
0.326,2.71,0.81,0.87
0.336,1.32,1.24,-0.11
0.343,1.31,1.22,-0.10
0.352,0.75,0.97,-0.23
0.359,0.56,0.48,-0.15
0.368,0.43,0.19,-0.32
0.376,0.06,0.00,-0.54
0.385,-0.60,-0.59,-0.59
0.393,-0.56,-0.57,-0.59
0.407,-1.11,-1.27,-1.12
0.410,-1.33,-1.23,-1.39
0.422,-1.28,-0.82,-1.00
0.427,-1.13,-0.15,0.01
0.436,-0.38,0.76,0.51
0.443,-0.35,0.82,0.48
0.453,0.24,1.12,0.54
0.460,0.36,1.05,0.27
0.469,-0.47,0.86,-0.09
0.477,-1.10,0.68,-0.59
0.486,-0.80,0.27,-1.02
0.493,-0.72,0.29,-1.03
0.502,0.09,-0.43,-1.15
0.519,0.71,-1.30,-1.10
0.520,0.15,-1.89,-0.95
0.537,-1.14,-1.99,-0.91
0.544,-2.16,-1.19,-0.82
0.545,-2.22,-1.18,-0.82
0.552,-2.57,0.12,-0.50
0.563,-2.19,0.52,-0.63
0.569,-1.67,-0.05,-1.07
0.578,-1.05,-0.48,-1.16
0.586,-0.46,-0.50,-1.03
0.594,-0.51,-0.51,-0.39
0.603,-0.31,-0.32,-0.60
0.611,-0.35,0.01,-0.26
0.619,-0.25,0.35,-0.15
0.628,-0.55,0.51,-0.21
0.637,-1.47,0.52,-0.77
0.645,-2.26,0.60,-1.77
0.653,-2.15,0.50,-1.73
0.665,-2.46,0.63,-2.50
0.670,-2.63,0.77,-3.01
0.681,-2.79,0.68,-3.31
0.687,-3.37,0.43,-3.28
0.697,-3.53,0.16,-2.56
0.703,-3.39,0.11,-2.51
0.713,-2.76,-0.49,-2.48
0.721,-2.66,-1.02,-0.94
0.729,-1.33,-1.39,-1.37
0.737,-0.16,-1.66,-1.64
0.746,1.31,-2.11,-1.31
0.754,1.56,-2.10,-1.25
0.763,2.37,-2.74,-1.35
0.772,3.33,-3.42,-1.50
0.779,4.82,-4.06,-1.37
0.791,6.00,-4.66,-1.10
0.796,6.27,-5.32,-1.06
0.806,6.66,-5.32,-0.85
0.813,6.41,-5.76,-1.46
0.822,7.15,-5.44,-1.45
0.830,7.43,-6.02,-3.25
0.838,7.86,-7.93,-4.15
0.851,6.96,-10.11,-3.58
0.854,7.40,-9.81,-3.26
0.863,6.84,-10.22,-2.05
0.871,7.21,-9.83,-1.21
0.880,6.94,-9.41,-0.95
0.888,5.23,-9.46,-0.84
0.897,2.78,-9.42,-0.73
0.905,0.79,-9.23,-0.92
0.913,0.97,-8.72,-0.49
0.922,-0.82,-8.95,-0.75
0.930,-2.47,-9.25,1.12
0.941,-1.18,-8.51,3.45
0.950,-1.48,-8.77,1.56
0.957,-3.42,-8.82,-0.22
0.964,-3.53,-8.40,-0.17
0.973,-5.80,-7.21,-2.06
0.982,-7.27,-5.49,-2.91
0.990,-9.35,-4.45,-2.91
0.999,-11.14,-3.53,-1.87
1.006,-12.07,-2.27,-0.52
1.015,-12.27,-1.98,-0.66
1.023,-12.79,-1.07,0.24
1.044,-12.56,-0.27,0.52
1.046,-11.64,0.41,0.26
1.048,-11.54,0.57,-2.40
1.056,-12.39,-0.15,-15.36
1.065,-12.46,-0.11,-15.47
1.073,-8.14,1.43,-16.11
1.085,-5.48,2.71,-11.04
1.089,-5.81,-0.06,-4.66
1.099,-8.91,-2.53,-0.15
1.106,-4.95,-2.93,-0.52
1.115,-4.97,-2.87,-0.47
1.123,-3.60,-2.84,0.31
1.136,-3.75,-2.52,-0.88
1.140,-3.39,-1.87,-1.11
1.150,-3.78,-1.29,-0.20
1.160,-3.74,-0.66,0.17
1.165,-3.80,-0.61,-0.18
1.173,-3.04,-0.43,-0.22
1.182,-2.20,-0.32,-1.09
1.195,-1.31,-0.09,-1.54
1.199,-0.33,0.16,-1.51
1.217,0.39,0.51,-1.43
1.221,0.08,0.99,-1.26
1.241,0.04,1.04,-1.19
1.243,-0.26,2.02,-1.84
1.244,-1.06,2.65,-2.42
