time,x,y,z
0.009,-1.12,-0.12,-1.37
0.010,-1.11,-0.06,-1.19
0.018,-1.12,-0.03,-0.85
0.031,-1.15,-0.01,-0.88
0.035,-1.13,-0.08,-0.60
0.045,-1.15,-0.18,-0.44
0.052,-1.16,-0.23,-0.52
0.061,-1.12,-0.37,-0.75
0.069,-1.23,-0.37,-0.95
0.079,-1.26,-0.34,-0.97
0.086,-1.36,-0.36,-0.91
0.094,-1.45,-0.29,-0.86
0.103,-1.49,-0.17,-0.84
0.111,-1.47,0.11,-1.02
0.121,-1.57,0.16,-1.38
0.127,-1.58,0.18,-1.40
0.142,-1.64,0.09,-2.00
0.144,-1.27,-0.08,-2.34
0.160,-0.83,-0.34,-2.44
0.161,-0.70,-0.60,-1.96
0.175,-0.81,-0.62,-1.16
0.178,-0.86,-0.54,-1.24
0.192,-1.41,-0.30,-0.17
0.195,-1.97,-0.18,0.37
0.212,-2.10,-0.15,0.32
0.213,-1.70,0.02,-0.18
0.220,-1.11,0.18,-0.51
0.229,-1.11,0.22,-0.54
0.237,-0.48,0.09,-0.63
0.245,-0.06,-0.31,-0.64
0.253,0.60,-0.47,-0.66
0.262,0.48,-0.60,-0.36
0.271,-0.42,-0.47,-0.22
0.278,-1.11,0.04,0.11
0.291,-1.07,0.11,0.07
0.298,-1.40,0.18,-0.15
0.304,-1.51,0.18,-0.35
0.312,-1.15,0.19,-0.54
0.320,-0.54,0.27,-0.68
0.329,-0.01,0.36,-0.69
0.337,0.01,0.40,-0.71
0.346,0.29,0.50,-0.82
0.354,0.25,0.45,-0.70
0.364,0.19,0.38,-0.47
0.371,0.21,0.27,-0.19
0.381,0.25,0.14,0.10
0.388,0.24,0.19,0.07
0.398,0.21,0.01,0.22
0.405,0.30,-0.24,0.06
0.414,0.42,-0.44,-0.23
0.422,0.31,-0.51,-0.62
0.431,0.34,-0.51,-0.85
0.438,0.30,-0.46,-0.88
0.454,0.69,-0.61,-0.93
0.455,1.27,-0.97,-1.12
0.466,2.20,-1.11,-1.30
0.472,3.28,-1.38,-1.65
0.481,3.23,-2.58,-1.98
0.488,3.39,-2.53,-1.93
0.497,3.02,-3.40,-2.45
0.505,3.12,-3.69,-3.25
0.514,4.23,-4.01,-3.68
0.522,5.61,-4.89,-4.02
0.530,6.66,-5.93,-4.17
0.538,7.08,-6.95,-4.31
0.547,7.43,-6.84,-4.08
0.555,7.72,-7.84,-3.80
0.566,8.18,-8.87,-3.28
0.574,8.49,-10.34,-2.64
0.581,9.01,-11.84,-2.27
0.591,8.93,-13.30,-2.17
0.600,9.26,-12.90,-1.86
0.613,7.47,-13.97,-2.20
0.615,4.85,-14.33,-2.88
0.627,3.70,-14.67,-3.48
0.631,4.56,-15.10,-3.78
0.641,4.67,-15.62,-3.88
0.648,4.70,-15.06,-3.61
0.659,3.63,-15.21,-2.99
0.665,1.38,-15.14,-1.78
0.676,-2.62,-13.89,-0.67
0.682,-7.14,-11.37,-0.19
0.691,-11.07,-8.29,-0.84
0.699,-11.23,-7.79,-0.65
0.714,-13.79,-4.96,-1.87
0.717,-15.14,-2.97,-3.59
0.728,-15.81,-1.84,-4.20
0.733,-15.82,-1.66,-2.91
0.741,-15.30,-1.96,-0.42
0.749,-15.40,-1.79,-0.51
0.758,-14.65,-1.90,1.84
0.766,-13.85,-1.81,3.46
0.774,-12.78,-1.46,3.85
0.784,-16.94,-1.02,-5.44
0.795,-14.80,2.89,-23.73
0.800,-11.34,3.89,-16.23
0.812,-11.29,3.92,-16.00
0.816,-12.24,0.91,-10.35
0.824,-8.37,0.53,-4.24
0.835,-5.89,-0.88,-0.69
0.858,-3.95,-0.88,-0.54
0.860,-2.69,0.22,-1.23
0.861,-2.69,0.25,-1.11
0.867,-2.30,1.03,-0.88
0.875,-2.08,2.29,-0.50
0.890,-1.60,2.97,-0.56
0.892,-0.02,3.82,-0.48
0.900,1.46,4.50,-0.49
