time,x,y,z
0.008,0.19,-0.19,-1.98
0.017,0.38,-0.54,-1.28
0.025,0.39,-0.50,-1.30
0.034,0.52,-0.71,-0.70
0.042,0.60,-0.81,-0.09
0.050,0.58,-0.80,0.27
0.061,0.60,-0.72,0.30
0.067,0.54,-0.59,0.24
0.076,0.52,-0.37,0.15
0.084,0.50,-0.35,0.14
0.093,0.43,-0.15,-0.09
0.101,0.39,-0.09,-0.23
0.112,0.32,-0.05,-0.41
0.117,0.31,-0.01,-0.59
0.129,0.33,-0.00,-0.59
0.134,0.24,-0.02,-0.80
0.149,0.10,-0.03,-0.85
0.151,-0.04,-0.05,-0.87
0.160,-0.13,-0.07,-0.78
0.168,-0.09,-0.19,-0.63
0.176,-0.01,-0.27,-0.48
0.184,-0.02,-0.25,-0.50
0.193,-0.09,-0.44,-0.45
0.201,-0.06,-0.81,-0.41
0.209,-0.17,-1.14,-0.63
0.217,0.01,-1.21,-1.16
0.226,0.03,-1.25,-1.61
0.234,0.03,-1.24,-1.61
0.243,-0.16,-1.53,-2.13
0.253,-0.41,-1.33,-2.54
0.260,-0.48,-0.64,-2.48
0.268,-0.55,-0.59,-2.33
0.277,-0.73,-1.19,-2.03
0.285,-0.67,-1.14,-2.04
0.295,-0.44,-1.75,-1.77
0.310,0.10,-2.53,-1.41
0.315,0.69,-2.16,-0.63
0.320,1.82,-3.24,-0.99
0.327,2.05,-4.21,-2.14
0.336,2.26,-4.17,-2.09
0.344,2.40,-4.09,-2.90
0.354,2.45,-3.79,-3.12
0.361,1.50,-3.99,-3.47
0.370,0.32,-3.86,-3.92
0.377,-0.42,-3.59,-3.85
0.388,-0.17,-3.51,-3.76
0.394,-0.19,-3.52,-3.45
0.404,0.32,-3.89,-2.79
0.411,1.25,-4.33,-1.79
0.420,2.45,-4.97,-0.80
0.427,3.93,-5.50,-0.02
0.442,5.02,-5.99,0.08
0.444,5.13,-5.79,0.13
0.453,5.77,-6.54,-0.18
0.461,5.20,-6.10,-0.17
0.469,3.84,-5.33,0.05
0.481,2.88,-5.06,-0.10
0.486,3.52,-5.39,-0.49
0.498,3.90,-5.11,-0.17
0.503,5.59,-6.31,-0.39
0.514,6.56,-8.19,0.16
0.519,5.93,-9.46,1.28
0.528,3.05,-9.58,1.57
0.537,-1.15,-8.90,1.93
0.546,-1.01,-8.38,2.27
0.553,-5.43,-6.62,3.01
0.563,-9.17,-4.15,3.18
0.570,-11.44,-1.95,2.76
0.581,-11.55,-0.44,2.30
0.588,-10.70,0.09,2.64
0.596,-10.81,0.39,2.55
0.604,-9.47,0.77,3.40
0.613,-8.38,1.00,4.34
0.621,-7.52,1.14,4.76
0.631,-6.88,1.13,4.44
0.638,-6.23,1.05,3.57
0.648,-5.99,1.01,2.16
0.654,-6.03,1.13,2.17
0.663,-6.37,1.26,0.44
